  0:	proc  - (:root:) creates proc  0 (Screen)
  0:	proc  - (:root:) creates proc  1 (User)
  0:	proc  - (:root:) creates proc  2 (Server)
 58:	proc  1 (User:1) Katsupay_spin.pml:120 (state 1)	[((Screen_state==s_Item))]
 59:	proc  1 (User:1) Katsupay_spin.pml:124 (state 4)	[Screen_ch!press_item_charge_btn]
 59:	proc  0 (Screen:1) Katsupay_spin.pml:21 (state 5)	[Screen_ch?press_item_charge_btn]
 60:	proc  0 (Screen:1) Katsupay_spin.pml:22 (state 6)	[Screen_state = s_charge]
 61:	proc  1 (User:1) Katsupay_spin.pml:125 (state 5)	[((Screen_state==s_charge))]
 62:	proc  1 (User:1) Katsupay_spin.pml:127 (state 7)	[.(goto)]
 63:	proc  0 (Screen:1) Katsupay_spin.pml:23 (state 7)	[PayType = paytype_charge]
 64:	proc  1 (User:1) Katsupay_spin.pml:178 (state 83)	[.(goto)]
 65:	proc  1 (User:1) Katsupay_spin.pml:147 (state 39)	[((Screen_state==s_charge))]
 66:	proc  0 (Screen:1) Katsupay_spin.pml:25 (state 9)	[.(goto)]
 67:	proc  0 (Screen:1) Katsupay_spin.pml:116 (state 119)	[.(goto)]
 68:	proc  0 (Screen:1) Katsupay_spin.pml:60 (state 50)	[((Screen_state==s_charge))]
 69:	proc  1 (User:1) Katsupay_spin.pml:147 (state 40)	[Screen_ch!press_charge_charge_btn]
 69:	proc  0 (Screen:1) Katsupay_spin.pml:62 (state 51)	[Screen_ch?press_charge_charge_btn]
 70:	proc  0 (Screen:1) Katsupay_spin.pml:62 (state 52)	[Screen_state = s_nfc]
 71:	proc  1 (User:1) Katsupay_spin.pml:148 (state 41)	[((Screen_state==s_nfc))]
 72:	proc  1 (User:1) Katsupay_spin.pml:178 (state 83)	[.(goto)]
 73:	proc  1 (User:1) Katsupay_spin.pml:127 (state 8)	[((Screen_state==s_nfc))]
 74:	proc  0 (Screen:1) Katsupay_spin.pml:64 (state 54)	[.(goto)]
 75:	proc  0 (Screen:1) Katsupay_spin.pml:116 (state 119)	[.(goto)]
 76:	proc  0 (Screen:1) Katsupay_spin.pml:25 (state 10)	[((Screen_state==s_nfc))]
 77:	proc  1 (User:1) Katsupay_spin.pml:140 (state 27)	[Screen_ch!nfc_charge]
 77:	proc  0 (Screen:1) Katsupay_spin.pml:46 (state 33)	[Screen_ch?nfc_charge]
 78:	proc  0 (Screen:1) Katsupay_spin.pml:47 (state 34)	[HTTP_ch!req_HTTP_charge]
 78:	proc  2 (Server:1) Katsupay_spin.pml:191 (state 9)	[HTTP_ch?req_HTTP_charge]
 79:	proc  2 (Server:1) Katsupay_spin.pml:192 (state 10)	[Server_state = HTTP_receive]
 80:	proc  2 (Server:1) Katsupay_spin.pml:194 (state 11)	[HTTP_ch!suc_HTTP_charge]
 80:	proc  0 (Screen:1) Katsupay_spin.pml:49 (state 35)	[HTTP_ch?suc_HTTP_charge]
 81:	proc  0 (Screen:1) Katsupay_spin.pml:51 (state 36)	[Screen_state = s_csuc]
 82:	proc  1 (User:1) Katsupay_spin.pml:142 (state 28)	[((Screen_state==s_csuc))]
 83:	proc  1 (User:1) Katsupay_spin.pml:142 (state 29)	[goto :b8]
 84:	proc  1 (User:1) Katsupay_spin.pml:154 (state 51)	[((Screen_state==s_csuc))]
 85:	proc  2 (Server:1) Katsupay_spin.pml:197 (state 15)	[Server_state = HTTP_waiting]
 86:	proc  2 (Server:1) Katsupay_spin.pml:206 (state 24)	[.(goto)]
 87:	proc  2 (Server:1) Katsupay_spin.pml:207 (state 26)	[.(goto)]
 88:	proc  2 (Server:1) Katsupay_spin.pml:182 (state 1)	[((Server_state==HTTP_waiting))]
